HSG*> up
Reader: Study Reader 1   Site: RD1
--------- Upload #5, 261 records ---------
DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA	TCH	ANT	EMP	TSS	SPV	NOI	CLS
S	2021-08-01 13:59:36.000	G	00:00:02.500	A	900_226000584318	RD1	26	0.8	HDX	A1	261	515/703	1306.5	382	 A 
S	2021-08-01 13:59:40.400	G	00:00:01.300	A	900_226000584318	RD1	14	0.8	HDX	A1	18	493/523	1305.5	374	 A 
S	2021-08-01 14:00:00.500	G	00:00:02.900	R	0000_0000000168273013	RD1	30	0.8	HDX	A1	187	475/843	1307.0	424	 E 
S	2021-08-01 14:00:07.200	G	00:00:03.200	R	0000_0000000168273013	RD1	33	0.8	HDX	A1	37	475/705	1304.5	386	 E 
S	2021-08-01 14:00:12.300	G	00:00:01.700	R	0000_0000000168273013	RD1	18	0.8	HDX	A1	18	475/513	1304.5	357	 E 
S	2021-08-01 14:00:17.100	G	00:00:00.900	R	0000_0000000168273013	RD1	10	0.8	HDX	A1	30	484/498	1304.5	377	 E 
S	2021-08-01 14:00:25.200	G	00:00:03.700	A	900_230000009506	RD1	38	0.8	HDX	A1	71	497/587	1304.0	386	 C 
S	2021-08-01 14:00:30.700	G	00:00:00.700	A	900_230000009506	RD1	8	0.8	HDX	A1	17	489/491	1303.5	374	 C 
S	2021-08-01 14:00:37.700	G	00:00:00.500	A	900_230000009506	RD1	6	0.8	HDX	A1	62	519/549	1302.5	402	 C 
S	2021-08-01 14:01:04.100	G	00:00:03.300	A	900_226000584318	RD1	34	0.8	HDX	A1	258	517/665	1302.0	392	 A 
S	2021-08-01 14:01:08.900	G	00:00:03.200	A	900_226000584318	RD1	33	0.8	HDX	A1	14	506/546	1302.5	383	 A 
S	2021-08-01 14:01:27.500	G	00:00:07.100	R	0000_0000000168273013	RD1	72	0.8	HDX	A1	153	478/846	1301.5	370	 E 
S	2021-08-01 14:01:37.100	G	00:00:01.400	R	0000_0000000168273013	RD1	15	0.8	HDX	A1	24	486/495	1301.0	365	 E 
S	2021-08-01 14:01:44.300	G	00:00:09.100	A	900_230000009506	RD1	92	0.9	HDX	A1	57	505/892	1301.0	374	 C 
S	2021-08-01 14:01:55.500	G	00:00:00.000	A	900_230000009506	RD1	1	0.8	HDX	A1	20	506/506	1301.0	373	 C 
S	2021-08-01 14:02:40.800	G	00:00:02.800	A	900_226000584318	RD1	29	0.8	HDX	A1	452	505/652	1301.0	388	 A 
S	2021-08-01 14:02:45.100	G	00:00:00.600	A	900_226000584318	RD1	7	0.8	HDX	A1	14	490/516	1301.5	388	 A 
S	2021-08-01 14:02:54.800	G	00:00:04.100	A	900_226000584318	RD1	42	0.8	HDX	A1	90	492/638	1301.5	377	 A 
S	2021-08-01 14:03:01.500	G	00:00:00.500	A	900_226000584318	RD1	6	0.9	HDX	A1	25	521/544	1301.5	394	 A 
S	2021-08-01 14:03:18.400	G	00:00:07.200	R	0000_0000000168273013	RD1	73	0.8	HDX	A1	163	478/835	1300.0	381	 E 
S	2021-08-01 14:03:27.100	G	00:00:00.100	R	0000_0000000168273013	RD1	2	0.9	HDX	A1	14	475/483	1300.5	365	 E 
S	2021-08-01 14:03:28.700	G	00:00:00.000	R	0000_0000000168273013	RD1	1	0.8	HDX	A1	14	481/481	1301.0	368	 E 
S	2021-08-01 14:03:37.500	G	00:00:08.000	A	900_230000009506	RD1	81	0.9	HDX	A1	87	500/873	1302.5	378	 C 
S	2021-08-01 14:03:47.300	G	00:00:00.100	A	900_230000009506	RD1	2	0.9	HDX	A1	17	516/517	1304.5	382	 C 
S	2021-08-01 14:04:16.300	G	00:00:08.100	A	900_226000584318	RD1	82	0.8	HDX	A1	288	512/693	1306.0	392	 A 
S	2021-08-01 14:04:26.000	G	00:00:00.500	A	900_226000584318	RD1	6	0.8	HDX	A1	15	535/548	1303.5	412	 A 
S	2021-08-01 14:04:42.700	G	00:00:04.700	R	0000_0000000168273013	RD1	48	0.8	HDX	A1	161	476/773	1305.5	382	 E 
S	2021-08-01 14:04:49.800	G	00:00:00.200	R	0000_0000000168273013	RD1	3	0.9	HDX	A1	23	480/488	1304.5	368	 E 
S	2021-08-01 14:05:03.400	G	00:00:03.900	A	900_230000009506	RD1	40	0.8	HDX	A1	133	495/544	1304.5	374	 C 
S	2021-08-01 14:05:09.100	G	00:00:00.500	A	900_230000009506	RD1	6	0.8	HDX	A1	17	491/496	1304.5	367	 C 
S	2021-08-01 14:05:39.800	G	00:00:03.000	A	900_226000584318	RD1	31	0.8	HDX	A1	301	498/649	1304.5	387	 A 
S	2021-08-01 14:05:58.000	G	00:00:06.600	R	0000_0000000168273013	RD1	67	0.8	HDX	A1	151	464/842	1304.5	366	 E 
S	2021-08-01 14:06:06.700	G	00:00:00.000	R	0000_0000000168273013	RD1	1	0.8	HDX	A1	20	468/468	1305.5	367	 E 
S	2021-08-01 14:06:11.000	G	00:00:01.200	R	0000_0000000168273013	RD1	13	0.9	HDX	A1	42	478/502	1306.5	371	 E 
S	2021-08-01 14:06:25.400	G	00:00:09.800	A	900_230000009506	RD1	99	0.8	HDX	A1	131	488/881	1307.0	390	 C 
S	2021-08-01 14:06:37.900	G	00:00:01.700	A	900_230000009506	RD1	18	0.8	HDX	A1	26	500/531	1305.0	383	 C 
S	2021-08-01 14:07:31.000	G	00:00:02.500	A	900_226000584318	RD1	26	0.8	HDX	A1	513	534/693	1304.5	402	 A 
