>UP
UP
Upload #9
Reader: Noname  Site: SE3
--------- upload 9 start ---------
Type,Date,Time,Duration,Type,Tag ID,Count,Gap
D,2021-01-19,10:07:42.09,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:42.39,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:07:43.59,00:00:00.20,HA,900_226000923049,3,1
D,2021-01-19,10:07:44.60,00:00:00.00,HA,900_226000923049,1,7
D,2021-01-19,10:07:44.80,00:00:00.21,HA,900_226000923049,3,1
D,2021-01-19,10:07:45.21,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:07:45.71,00:00:00.00,HA,900_226000923049,1,3
D,2021-01-19,10:07:45.13,00:00:00.10,HA,900_226000923049,2,3
D,2021-01-19,10:07:45.43,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:45.63,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:45.83,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:46.13,00:00:00.20,HA,900_226000923049,3,2
D,2021-01-19,10:07:47.94,00:00:00.00,HA,900_226000923049,1,5
D,2021-01-19,10:07:48.15,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:53.91,00:00:00.00,HA,900_226000923049,1,66
D,2021-01-19,10:07:54.12,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:54.42,00:00:00.10,HA,900_226000923049,2,2
D,2021-01-19,10:07:54.92,00:00:00.00,HA,900_226000923049,1,3
D,2021-01-19,10:07:55.22,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:07:55.43,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:55.63,00:00:00.20,HA,900_226000923049,3,1
D,2021-01-19,10:07:56.04,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:56.34,00:00:00.10,HA,900_226000923049,2,2
D,2021-01-19,10:07:56.75,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:07:57.86,00:00:00.00,HA,900_226000923049,1,10
D,2021-01-19,10:07:59.97,00:00:00.11,HA,900_226000923049,2,10
D,2021-01-19,10:08:00.68,00:00:00.10,HA,900_226000923049,2,5
D,2021-01-19,10:08:02.41,00:00:00.00,HA,900_226000923049,1,15
D,2021-01-19,10:08:02.32,00:00:00.00,HA,900_226000923049,1,8
D,2021-01-19,10:08:03.03,00:00:00.00,HA,900_226000923049,1,6
D,2021-01-19,10:08:25.49,00:00:00.11,HA,900_226000923049,2,222
D,2021-01-19,10:11:19.06,00:00:00.00,HA,900_226000923049,1,1722
D,2021-01-19,10:11:19.36,00:00:00.20,HA,900_226000923049,3,2
D,2021-01-19,10:11:19.77,00:00:00.20,HA,900_226000923049,3,1
D,2021-01-19,10:11:20.18,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:11:20.48,00:00:00.40,HA,900_226000923049,5,1
D,2021-01-19,10:11:21.09,00:00:01.01,HA,900_226000923049,11,1
D,2021-01-19,10:11:22.41,00:00:00.00,HA,900_226000923049,1,2
