"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-08-11 12:52:29	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	28	"662/662"	1415.5	256	" C "
"S"	2020-08-11 13:34:22	"G"	00:00:01.9	"A"	"900_230000009506"	"upstream"	20	0.9	"HDX"	"A1"	20125	"489/503"	1376.5	344	" C "
"S"	2020-08-11 13:34:26	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.8	"HDX"	"A1"	21	"492/492"	1376	339	" C "
"S"	2020-08-11 13:34:28	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	14	"509/509"	1373	340	" C "
"S"	2020-08-11 13:34:54	"G"	00:00:02.0	"A"	"900_226000584318"	"upstream"	21	1	"HDX"	"A1"	260	"478/515"	1373.5	325	" A "
"S"	2020-08-11 13:34:59	"G"	00:00:00.1	"A"	"900_226000584318"	"upstream"	2	1	"HDX"	"A1"	31	"484/491"	1375.5	334	" A "
"S"	2020-08-11 13:35:25	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	258	"490/490"	1373	329	" E "
"S"	2020-08-11 13:35:31	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	65	"493/493"	1376.5	330	" E "
"S"	2020-08-11 13:35:44	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	120	"500/500"	1376.5	322	" E "
"S"	2020-08-11 13:36:14	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	307	"455/455"	1372.5	299	" E "
"S"	2020-08-11 13:36:17	"G"	00:00:01.3	"R"	"0000_0000000168273013"	"upstream"	14	0.9	"HDX"	"A1"	22	"467/476"	1372	327	" E "
"S"	2020-08-11 13:36:19	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	14	"464/464"	1372	331	" E "
"S"	2020-08-11 13:36:32	"G"	00:00:00.5	"A"	"900_230000009506"	"upstream"	6	0.8	"HDX"	"A1"	121	"483/489"	1374	329	" C "
"S"	2020-08-11 13:36:37	"G"	00:00:00.5	"A"	"900_230000009506"	"upstream"	6	0.9	"HDX"	"A1"	44	"492/500"	1373	338	" C "
"S"	2020-08-11 13:36:42	"G"	00:00:00.9	"A"	"900_230000009506"	"upstream"	10	0.9	"HDX"	"A1"	51	"476/480"	1375.5	341	" C "
"S"	2020-08-11 13:37:05	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	214	"472/472"	1376	327	" A "
"S"	2020-08-11 13:37:08	"G"	00:00:00.3	"A"	"900_226000584318"	"upstream"	4	0.9	"HDX"	"A1"	31	"464/483"	1376	320	" A "
"S"	2020-08-11 13:37:56	"G"	00:00:02.1	"A"	"900_226000584318"	"upstream"	22	1	"HDX"	"A1"	473	"454/480"	1373	310	" A "
"S"	2020-08-11 13:38:02	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	38	"467/467"	1373.5	332	" A "
"S"	2020-08-11 13:38:07	"G"	00:00:00.9	"A"	"900_226000584318"	"upstream"	10	0.9	"HDX"	"A1"	55	"470/478"	1374	336	" A "
"S"	2020-08-11 13:38:32	"G"	00:00:01.6	"A"	"900_230000009506"	"upstream"	17	0.9	"HDX"	"A1"	233	"544/606"	1376	355	" C "
"S"	2020-08-11 13:38:35	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	21	"486/486"	1373	326	" C "
"S"	2020-08-11 13:38:40	"G"	00:00:01.7	"A"	"900_230000009506"	"upstream"	18	1	"HDX"	"A1"	43	"487/505"	1373.5	330	" C "
"S"	2020-08-11 13:38:58	"G"	00:00:01.7	"R"	"0000_0000000168273013"	"upstream"	18	1	"HDX"	"A1"	163	"464/481"	1372.5	319	" E "
"S"	2020-08-11 13:39:10	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	100	"446/446"	1374.5	322	" E "
"S"	2020-08-11 13:39:41	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	317	"491/491"	1379	321	" E "
"S"	2020-08-11 13:39:46	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	40	"477/477"	1376.5	327	" E "
"S"	2020-08-11 13:39:57	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	117	"565/565"	1374	370	" C "
"S"	2020-08-11 13:39:59	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	14	"507/507"	1376.5	341	" C "
"S"	2020-08-11 13:40:00	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	15	"453/453"	1371.5	318	" C "
"S"	2020-08-11 13:40:08	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	71	"453/453"	1374	312	" C "
