DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-05-16 22:34:55.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.8
S	2019-05-16 22:34:58.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:01.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:04.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:07.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:10.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:13.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:16.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:19.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:22.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.8
S	2019-05-16 22:35:25.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.8
S	2019-05-16 22:35:28.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:31.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:34.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:37.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:38.400	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:35:40.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:43.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.8
S	2019-05-16 22:35:46.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:47.300	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:35:49.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:52.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:35:55.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:35:58.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:01.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:04.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:07.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:10.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:13.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:16.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:18.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:21.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:24.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:27.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:30.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:33.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:35.000	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:36:36.900	G	00:00:00.100	W	0000_000000005189	BBB	6	0.7
S	2019-05-16 22:36:39.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:42.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:45.800	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:48.800	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:51.800	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:36:54.800	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:36:57.800	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:00.800	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:02.100	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:37:03.800	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:06.200	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:37:06.800	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:09.700	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:12.700	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:15.700	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:18.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:21.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:24.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:27.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:30.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:33.700	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:36.600	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:39.600	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:42.600	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:37:45.600	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:48.600	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:51.600	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:54.600	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:37:57.600	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:00.500	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:01.000	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:38:03.500	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:06.500	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:09.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:12.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:15.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:18.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:21.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:24.500	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:27.400	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:30.400	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:33.400	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:36.400	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:39.400	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:42.400	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:45.400	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:48.400	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:38:51.300	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:54.300	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:38:57.300	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:00.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:03.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:06.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:09.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:12.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:15.300	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:18.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:21.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:24.200	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:27.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:30.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:33.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:36.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:39.200	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:42.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:45.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:48.100	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:39:51.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:54.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:39:57.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:00.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:03.100	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:06.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:09.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:12.000	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:15.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:16.300	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:40:18.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:21.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:24.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:27.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:29.100	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:40:30.000	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:32.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:35.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:38.900	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
S	2019-05-16 22:40:41.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:44.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:47.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:50.100	G	00:00:00.000	P	0000_247618116254	BBB	1	0.7
S	2019-05-16 22:40:50.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:53.900	G	00:00:00.100	W	0000_000000005189	BBB	2	0.7
S	2019-05-16 22:40:56.800	G	00:00:00.200	W	0000_000000005189	BBB	3	0.7
