"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-09-30 13:22:03	"G"	00:00:00.2	"A"	"900_230000009506"	"downstream"	3	0.8	"HDX"	"A1"	20	"477/500"	1350	301	" C "
"S"	2020-09-30 13:22:11	"G"	00:00:01.9	"A"	"900_230000009506"	"downstream"	20	0.8	"HDX"	"A1"	69	"573/586"	1349	330	" C "
"S"	2020-09-30 13:22:14	"G"	00:00:03.7	"A"	"900_230000009506"	"downstream"	38	0.8	"HDX"	"A1"	17	"493/577"	1349.5	282	" C "
"S"	2020-09-30 13:22:23	"G"	00:00:01.0	"A"	"900_230000009506"	"downstream"	11	0.8	"HDX"	"A1"	46	"473/498"	1350	287	" C "
"S"	2020-09-30 13:22:27	"G"	00:00:00.7	"A"	"900_230000009506"	"downstream"	8	0.8	"HDX"	"A1"	34	"511/517"	1348	317	" C "
"S"	2020-09-30 13:22:36	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.9	"HDX"	"A1"	83	"515/515"	1347	304	" C "
"S"	2020-09-30 13:22:39	"G"	00:00:00.7	"A"	"900_230000009506"	"downstream"	8	0.8	"HDX"	"A1"	28	"522/526"	1350	318	" C "
"S"	2020-09-30 13:22:48	"G"	00:00:02.4	"A"	"900_230000009506"	"downstream"	25	0.8	"HDX"	"A1"	77	"449/515"	1346.5	314	" C "
"S"	2020-09-30 13:22:57	"G"	00:00:00.5	"A"	"900_230000009506"	"downstream"	6	0.9	"HDX"	"A1"	64	"397/430"	1348.5	278	" C "
"S"	2020-09-30 13:23:00	"G"	00:00:00.1	"A"	"900_230000009506"	"downstream"	2	0.8	"HDX"	"A1"	27	"475/493"	1347.5	292	" C "
"S"	2021-07-31 17:44:37	"G"	00:00:10.6	"A"	"900_230000009506"	"downstream"	107	0.9	"HDX"	"A1"	52	"415/658"	1276	301	" C "
"S"	2021-07-31 17:44:50	"G"	00:00:00.4	"A"	"900_230000009506"	"downstream"	5	0.9	"HDX"	"A1"	16	"447/500"	1277	336	" C "
"S"	2021-07-31 17:44:54	"G"	00:00:03.5	"A"	"900_226000584318"	"downstream"	36	0.8	"HDX"	"A1"	42	"470/620"	1276.5	324	" A "
"S"	2021-07-31 17:44:59	"G"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	15	"463/463"	1276.5	319	" A "
"S"	2021-07-31 17:45:01	"G"	00:00:09.8	"A"	"900_226000584318"	"downstream"	99	0.8	"HDX"	"A1"	17	"445/674"	1275.5	328	" A "
"S"	2021-07-31 17:45:26	"G"	00:00:02.8	"R"	"0000_0000000168273013"	"downstream"	29	0.8	"HDX"	"A1"	20	"511/759"	1277.5	337	" E "
"S"	2021-07-31 17:45:31	"G"	00:00:04.2	"R"	"0000_0000000168273013"	"downstream"	43	0.8	"HDX"	"A1"	19	"485/565"	1278	332	" E "
"S"	2021-07-31 17:45:37	"G"	00:00:09.2	"R"	"0000_0000000168273013"	"downstream"	93	0.8	"HDX"	"A1"	21	"441/521"	1278	317	" E "
"S"	2021-07-31 17:45:49	"G"	00:00:02.2	"A"	"900_226000584318"	"downstream"	23	0.8	"HDX"	"A1"	29	"458/636"	1277.5	322	" A "
"S"	2021-07-31 17:47:06	"G"	00:00:04.9	"A"	"900_226000584318"	"downstream"	50	0.8	"HDX"	"A1"	10	"440/670"	1279	313	" A "
"S"	2021-07-31 17:47:13	"G"	00:00:00.2	"A"	"900_226000584318"	"downstream"	3	0.8	"HDX"	"A1"	15	"471/479"	1278.5	324	" A "
"S"	2021-07-31 17:47:16	"G"	00:00:02.1	"A"	"900_226000584318"	"downstream"	22	0.8	"HDX"	"A1"	25	"445/671"	1278.5	314	" A "
"S"	2021-07-31 17:47:22	"G"	00:00:06.8	"R"	"0000_0000000168273013"	"downstream"	69	0.8	"HDX"	"A1"	37	"467/682"	1278	314	" E "
"S"	2021-07-31 17:47:30	"G"	00:00:03.6	"R"	"0000_0000000168273013"	"downstream"	37	0.8	"HDX"	"A1"	15	"435/458"	1277	271	" E "
"S"	2021-07-31 17:47:41	"G"	00:00:03.0	"A"	"900_230000009506"	"downstream"	31	0.8	"HDX"	"A1"	72	"467/610"	1278	332	" C "
"S"	2021-07-31 17:47:45	"G"	00:00:00.5	"A"	"900_230000009506"	"downstream"	6	0.8	"HDX"	"A1"	15	"421/428"	1277.5	312	" C "
"S"	2021-07-31 17:47:48	"G"	00:00:07.5	"A"	"900_230000009506"	"downstream"	76	0.8	"HDX"	"A1"	21	"447/571"	1278	297	" C "
"S"	2021-07-31 17:47:58	"G"	00:00:00.6	"A"	"900_230000009506"	"downstream"	7	0.8	"HDX"	"A1"	23	"443/528"	1278	336	" C "
"S"	2021-07-31 17:48:01	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	18	"533/533"	1278	247	" C "
"S"	2021-07-31 17:48:02	"G"	00:00:05.4	"A"	"900_230000009506"	"downstream"	55	0.8	"HDX"	"A1"	15	"441/610"	1279	395	" C "
"S"	2021-07-31 17:48:24	"G"	00:00:03.2	"A"	"900_226000584318"	"downstream"	33	0.8	"HDX"	"A1"	168	"481/654"	1277.5	312	" A "
"S"	2021-07-31 17:48:30	"G"	00:00:01.9	"A"	"900_226000584318"	"downstream"	20	0.8	"HDX"	"A1"	19	"558/619"	1277	363	" A "
"S"	2021-07-31 17:48:35	"G"	00:00:17.7	"A"	"900_230000009506"	"downstream"	178	0.8	"HDX"	"A1"	29	"436/848"	1279.5	317	" C "
"S"	2021-08-01 13:04:16	"G"	00:00:06.4	"A"	"900_226000584318"	"downstream"	65	0.9	"HDX"	"A1"	48	"426/654"	1330.5	289	" A "
"S"	2021-08-01 13:04:24	"G"	00:00:03.9	"A"	"900_226000584318"	"downstream"	40	0.8	"HDX"	"A1"	15	"440/465"	1328	293	" A "
"S"	2021-08-01 13:04:32	"G"	00:00:00.7	"A"	"900_226000584318"	"downstream"	8	0.8	"HDX"	"A1"	35	"469/495"	1330	327	" A "
"S"	2021-08-01 13:04:34	"G"	00:00:01.4	"A"	"900_226000584318"	"downstream"	15	0.8	"HDX"	"A1"	14	"430/460"	1329	288	" A "
"S"	2021-08-01 13:04:37	"G"	00:00:01.3	"A"	"900_226000584318"	"downstream"	14	8.9	"HDX"	"A1"	18	"427/457"	1327	278	" A "
"S"	2021-08-01 13:04:46	"G"	00:00:06.9	"A"	"900_226000584318"	"downstream"	70	0.8	"HDX"	"A1"	72	"488/694"	1328	325	" A "
"S"	2021-08-01 13:04:54	"G"	00:00:03.3	"A"	"900_226000584318"	"downstream"	34	0.9	"HDX"	"A1"	15	"423/504"	1331.5	297	" A "
"S"	2021-08-01 13:05:03	"G"	00:00:00.5	"A"	"900_226000584318"	"downstream"	6	0.8	"HDX"	"A1"	47	"454/577"	1332	316	" A "
"S"	2021-08-01 13:05:15	"G"	00:00:10.1	"A"	"900_226000584318"	"downstream"	102	0.8	"HDX"	"A1"	116	"423/678"	1332.5	290	" A "
"S"	2021-08-01 13:05:28	"G"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.9	"HDX"	"A1"	29	"442/442"	1332	267	" A "
"S"	2021-08-01 13:05:31	"G"	00:00:00.7	"A"	"900_226000584318"	"downstream"	8	0.8	"HDX"	"A1"	26	"417/548"	1331	304	" A "
"S"	2021-08-01 13:05:54	"G"	00:00:01.2	"A"	"900_226000584318"	"downstream"	13	0.7	"HDX"	"A1"	229	"574/598"	1330.5	358	" A "
"S"	2021-08-01 13:06:09	"G"	00:00:01.2	"A"	"900_226000584318"	"downstream"	13	0.7	"HDX"	"A1"	136	"582/679"	1331.5	391	" A "
"S"	2021-08-01 13:07:30	"G"	00:00:00.6	"A"	"900_226000584318"	"downstream"	7	0.8	"HDX"	"A1"	794	"433/525"	1330	345	" A "
"S"	2021-08-01 13:07:59	"G"	00:00:06.0	"A"	"900_226000584318"	"downstream"	61	0.8	"HDX"	"A1"	50	"419/700"	1327.5	300	" A "
"S"	2021-08-01 13:08:11	"G"	00:00:01.7	"A"	"900_226000584318"	"downstream"	18	0.8	"HDX"	"A1"	63	"440/513"	1323.5	310	" A "
"S"	2021-08-01 13:08:15	"G"	00:00:01.8	"A"	"900_226000584318"	"downstream"	19	0.8	"HDX"	"A1"	16	"426/470"	1323.5	311	" A "
"S"	2021-08-01 13:08:18	"G"	00:00:00.5	"A"	"900_226000584318"	"downstream"	6	0.8	"HDX"	"A1"	18	"446/466"	1322.5	309	" A "
"S"	2021-08-01 13:08:43	"G"	00:00:06.5	"A"	"900_226000584318"	"downstream"	66	0.9	"HDX"	"A1"	241	"427/618"	1321	294	" A "
"S"	2021-08-01 13:08:56	"G"	00:00:00.7	"A"	"900_226000584318"	"downstream"	8	0.8	"HDX"	"A1"	65	"422/461"	1325.5	324	" A "
"S"	2021-08-01 13:09:32	"G"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	8.9	"HDX"	"A1"	353	"498/498"	1327.5	309	" A "
"S"	2021-08-01 13:10:14	"G"	00:00:02.1	"A"	"900_226000584318"	"downstream"	22	8.9	"HDX"	"A1"	414	"420/456"	1323	287	" A "
"S"	2021-08-01 13:10:19	"G"	00:00:02.5	"A"	"900_226000584318"	"downstream"	26	0.8	"HDX"	"A1"	31	"414/424"	1325.5	281	" A "
"S"	2021-08-01 13:10:30	"G"	00:00:02.3	"A"	"900_226000584318"	"downstream"	24	0.8	"HDX"	"A1"	87	"415/419"	1322.5	284	" A "
"S"	2021-08-01 13:11:09	"G"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.9	"HDX"	"A1"	361	"418/418"	1323.5	255	" A "
"S"	2021-08-01 14:12:28	"G"	00:00:00.9	"A"	"900_226000584318"	"downstream"	10	0.8	"HDX"	"A1"	12629	"459/607"	1302	382	" A "
"S"	2021-08-01 14:12:32	"G"	00:00:02.5	"A"	"900_226000584318"	"downstream"	26	0.8	"HDX"	"A1"	33	"419/614"	1302	308	" A "
"S"	2021-08-01 14:12:37	"G"	00:00:01.2	"A"	"900_226000584318"	"downstream"	13	0.8	"HDX"	"A1"	22	"423/488"	1302.5	298	" A "
"S"	2021-08-01 14:12:53	"G"	00:00:04.7	"R"	"0000_0000000168273013"	"downstream"	48	0.8	"HDX"	"A1"	150	"436/713"	1303	315	" E "
"S"	2021-08-01 14:12:59	"G"	00:00:07.2	"R"	"0000_0000000168273013"	"downstream"	73	0.8	"HDX"	"A1"	14	"427/602"	1302	310	" E "
"S"	2021-08-01 14:13:10	"G"	00:00:00.1	"R"	"0000_0000000168273013"	"downstream"	2	0.8	"HDX"	"A1"	32	"446/447"	1302	317	" E "
"S"	2021-08-01 14:13:19	"G"	00:00:13.5	"A"	"900_230000009506"	"downstream"	136	0.8	"HDX"	"A1"	88	"407/706"	1302	302	" C "
"S"	2021-08-01 14:14:09	"G"	00:00:05.2	"A"	"900_226000584318"	"downstream"	53	0.8	"HDX"	"A1"	361	"427/667"	1301.5	292	" A "
"S"	2021-08-01 14:14:16	"G"	00:00:00.8	"A"	"900_226000584318"	"downstream"	9	0.8	"HDX"	"A1"	21	"422/465"	1300.5	315	" A "
"S"	2021-08-01 14:14:29	"G"	00:00:10.9	"R"	"0000_0000000168273013"	"downstream"	110	0.8	"HDX"	"A1"	124	"425/809"	1300.5	294	" E "
"S"	2021-08-01 14:14:49	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	82	"410/410"	1300.5	304	" C "
"S"	2021-08-01 14:14:51	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	24	"403/403"	1301	292	" C "
"S"	2021-08-01 14:14:54	"G"	00:00:11.0	"A"	"900_230000009506"	"downstream"	111	0.8	"HDX"	"A1"	31	"448/841"	1301.5	313	" C "
"S"	2021-08-01 14:15:07	"G"	00:00:05.2	"A"	"900_230000009506"	"downstream"	53	0.8	"HDX"	"A1"	15	"411/450"	1301.5	307	" C "
"S"	2021-08-01 14:15:46	"G"	00:00:02.3	"A"	"900_226000584318"	"downstream"	24	0.8	"HDX"	"A1"	341	"431/611"	1302.5	329	" A "
"S"	2021-08-01 14:15:50	"G"	00:00:04.2	"A"	"900_226000584318"	"downstream"	43	0.8	"HDX"	"A1"	17	"418/482"	1303	297	" A "
"S"	2021-08-01 14:15:56	"G"	00:00:04.3	"A"	"900_226000584318"	"downstream"	44	0.8	"HDX"	"A1"	17	"428/467"	1302.5	305	" A "
"S"	2021-08-01 14:16:16	"G"	00:00:03.9	"R"	"0000_0000000168273013"	"downstream"	40	0.8	"HDX"	"A1"	149	"451/709"	1304.5	311	" E "
"S"	2021-08-01 14:16:21	"G"	00:00:01.4	"R"	"0000_0000000168273013"	"downstream"	15	0.8	"HDX"	"A1"	17	"452/468"	1303.5	310	" E "
"S"	2021-08-01 14:16:32	"G"	00:00:05.4	"A"	"900_230000009506"	"downstream"	55	0.8	"HDX"	"A1"	93	"422/572"	1303	302	" C "
"S"	2021-08-01 14:16:39	"G"	00:00:00.9	"A"	"900_230000009506"	"downstream"	10	0.8	"HDX"	"A1"	18	"417/429"	1303	299	" C "
"S"	2021-08-01 14:16:43	"G"	00:00:01.6	"A"	"900_230000009506"	"downstream"	17	0.8	"HDX"	"A1"	23	"418/436"	1303.5	316	" C "
"S"	2021-08-01 14:17:12	"G"	00:00:09.1	"A"	"900_226000584318"	"downstream"	92	0.8	"HDX"	"A1"	271	"416/659"	1305.5	319	" A "
"S"	2021-08-01 14:17:35	"G"	00:00:05.1	"R"	"0000_0000000168273013"	"downstream"	52	0.8	"HDX"	"A1"	144	"420/712"	1301.5	319	" E "
"S"	2021-08-01 14:17:42	"G"	00:00:00.2	"R"	"0000_0000000168273013"	"downstream"	3	0.8	"HDX"	"A1"	19	"425/433"	1301.5	300	" E "
"S"	2021-08-01 14:17:52	"G"	00:00:06.5	"A"	"900_230000009506"	"downstream"	66	0.8	"HDX"	"A1"	91	"414/774"	1301	310	" C "
"S"	2021-08-01 14:18:00	"G"	00:00:02.6	"A"	"900_230000009506"	"downstream"	27	0.8	"HDX"	"A1"	21	"418/439"	1300.5	291	" C "
"S"	2021-08-01 14:18:07	"G"	00:00:00.6	"A"	"900_230000009506"	"downstream"	7	0.8	"HDX"	"A1"	35	"429/433"	1300	312	" C "
"S"	2021-08-01 14:18:32	"G"	00:00:04.6	"A"	"900_226000584318"	"downstream"	47	0.8	"HDX"	"A1"	251	"415/619"	1301	289	" A "
"S"	2021-08-01 14:18:48	"G"	00:00:03.0	"R"	"0000_0000000168273013"	"downstream"	31	0.8	"HDX"	"A1"	113	"430/604"	1299.5	315	" E "
"S"	2021-08-01 14:18:53	"G"	00:00:01.3	"R"	"0000_0000000168273013"	"downstream"	14	0.8	"HDX"	"A1"	16	"441/467"	1299.5	319	" E "
"S"	2021-08-01 14:18:56	"G"	00:00:00.2	"R"	"0000_0000000168273013"	"downstream"	3	0.8	"HDX"	"A1"	20	"417/422"	1300	296	" E "
"S"	2021-08-01 14:19:08	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	112	"474/474"	1300.5	294	" C "
"S"	2021-08-01 14:19:10	"G"	00:00:02.7	"A"	"900_230000009506"	"downstream"	28	0.8	"HDX"	"A1"	24	"427/499"	1301	312	" C "
"S"	2021-08-01 14:19:15	"G"	00:00:04.1	"A"	"900_230000009506"	"downstream"	42	0.8	"HDX"	"A1"	16	"418/453"	1300.5	312	" C "
"S"	2021-08-01 14:19:21	"G"	00:00:05.4	"A"	"900_230000009506"	"downstream"	55	0.8	"HDX"	"A1"	17	"428/562"	1302.5	292	" C "
"S"	2021-08-01 14:19:28	"G"	00:00:03.2	"A"	"900_230000009506"	"downstream"	33	0.8	"HDX"	"A1"	22	"416/446"	1300	310	" C "
"S"	2021-08-01 14:20:11	"G"	00:00:03.0	"A"	"900_226000584318"	"downstream"	31	0.8	"HDX"	"A1"	395	"433/671"	1301	302	" A "
"S"	2021-08-01 14:20:16	"G"	00:00:00.6	"A"	"900_226000584318"	"downstream"	7	0.8	"HDX"	"A1"	20	"430/446"	1300.5	309	" A "
"S"	2021-08-01 14:20:19	"G"	00:00:01.4	"A"	"900_226000584318"	"downstream"	15	0.8	"HDX"	"A1"	17	"416/471"	1300	293	" A "
"S"	2021-08-01 14:20:33	"G"	00:00:00.9	"R"	"0000_0000000168273013"	"downstream"	10	0.8	"HDX"	"A1"	129	"427/572"	1300.5	313	" E "
"S"	2021-08-01 14:20:36	"G"	00:00:01.1	"R"	"0000_0000000168273013"	"downstream"	12	0.8	"HDX"	"A1"	20	"418/443"	1300.5	298	" E "
"S"	2021-08-01 14:20:45	"G"	00:00:02.0	"A"	"900_230000009506"	"downstream"	21	0.8	"HDX"	"A1"	80	"402/492"	1299.5	297	" C "
"S"	2021-08-01 14:20:51	"G"	00:00:03.3	"A"	"900_230000009506"	"downstream"	34	0.8	"HDX"	"A1"	37	"413/509"	1300	300	" C "
