DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-10-31 09:45:56.000	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 09:46:55.800	G	00:00:00.500	W	0000_000000004978	TES	6	1.0
S	2019-10-31 09:49:56.000	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 09:52:56.000	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 09:54:55.800	G	00:00:00.500	W	0000_000000004978	TES	6	1.0
S	2019-10-31 09:56:55.600	G	00:00:00.700	W	0000_000000004978	TES	8	1.0
S	2019-10-31 10:02:55.600	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 10:16:56.200	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 10:17:56.300	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 10:18:55.600	G	00:00:00.300	W	0000_000000004978	TES	4	1.0
S	2019-10-31 10:21:56.000	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 10:22:55.600	G	00:00:00.700	W	0000_000000004978	TES	8	1.0
S	2019-10-31 10:23:55.600	G	00:00:00.800	W	0000_000000004978	TES	9	1.0
S	2019-10-31 10:40:56.100	G	00:00:00.600	W	0000_000000004978	TES	7	1.0
S	2019-10-31 10:41:56.000	G	00:00:00.600	W	0000_000000004978	TES	7	1.0
S	2019-10-31 10:42:55.900	G	00:00:00.900	W	0000_000000004978	TES	10	1.0
S	2019-10-31 10:43:56.000	G	00:00:00.800	W	0000_000000004978	TES	9	1.0
S	2019-10-31 10:44:56.400	G	00:00:00.400	W	0000_000000004978	TES	5	1.0
S	2019-10-31 10:45:56.800	G	00:00:00.000	W	0000_000000004978	TES	2	1.0
S	2019-10-31 10:46:56.000	G	00:00:00.700	W	0000_000000004978	TES	8	1.0
S	2019-10-31 10:47:56.600	G	00:00:00.200	W	0000_000000004978	TES	3	1.0
